Tabelle: 22421-0001
Pflegebedürftige: Deutschland, Stichtag, Geschlecht,;;;;;;;;;;;;;;;
Altersgruppen, Art der Versorgung von Pflegebedürftigen;;;;;;;;;;;;;;;
Statistik über d. Empfänger v.Pflegegeldleistungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pflegebedürftige (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;
;;;31.12.1999;;31.12.2001;;31.12.2003;;31.12.2005;;31.12.2007;;31.12.2009;;31.12.2011;;31.12.2013;;31.12.2015;;31.12.2017;;31.12.2019;;31.12.2021;;31.12.2023;
;;40 bis unter 45 Jahre;9054;e;9588;e;10016;e;10001;e;10170;e;9621;e;8963;e;8460;e;8267;e;10686;e;13112;e;16297;e;19779;e
;;45 bis unter 50 Jahre;9717;e;9702;e;9844;e;10461;e;11908;e;12597;e;12445;e;12778;e;13159;e;16083;e;18048;e;20646;e;24957;e
;;50 bis unter 55 Jahre;10282;e;11523;e;12136;e;12126;e;13141;e;13764;e;15400;e;17191;e;18846;e;24985;e;29662;e;34552;e;39491;e
;;55 bis unter 60 Jahre;17052;e;14041;e;13586;e;14850;e;17197;e;17987;e;18486;e;20349;e;23401;e;32449;e;41638;e;51677;e;64040;e
;;60 bis unter 65 Jahre;26502;e;26037;e;23935;e;20497;e;20355;e;21113;e;24742;e;27956;e;30309;e;39341;e;49237;e;64458;e;85224;e
;;65 bis unter 70 Jahre;33962;e;34194;e;35550;e;35986;e;37741;e;35366;e;31033;e;32861;e;39036;e;53142;e;65173;e;80174;e;101443;e
;;70 bis unter 75 Jahre;55705;e;52250;e;49377;e;49652;e;55802;e;60678;e;63432;e;62980;e;59320;e;67946;e;81697;e;112243;e;144629;e
;;75 bis unter 80 Jahre;93873;e;86718;e;82813;e;80487;e;84079;e;84150;e;92164;e;103907;e;117098;e;144095;e;155249;e;156054;e;186221;e
;;80 bis unter 85 Jahre;87207;e;101688;e;122267;e;120866;e;122846;e;125495;e;135781;e;134221;e;150968;e;203152;e;256898;e;317058;e;356840;e
;;85 bis unter 90 Jahre;135498;e;113283;e;84440;e;87359;e;118063;e;131206;e;141385;e;143116;e;161251;e;194062;e;222139;e;281873;e;373966;e
